mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lgbmregressor__colsample_bytree,param_lgbmregressor__learning_rate,param_lgbmregressor__min_child_samples,param_lgbmregressor__n_estimators,param_lgbmregressor__num_leaves,param_lgbmregressor__reg_alpha,param_lgbmregressor__reg_lambda,param_lgbmregressor__subsample,param_lgbmregressor__subsample_freq,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,mean_train_score,std_train_score
5.645246535539627,2.474736967011683,0.48715394735336304,0.07926082725936381,0.8167871522623573,0.1,12,54,29,0.5301641059858879,0.9673947669325881,0.36374747118807293,9,"{'lgbmregressor__colsample_bytree': 0.8167871522623573, 'lgbmregressor__learning_rate': 0.1, 'lgbmregressor__min_child_samples': 12, 'lgbmregressor__n_estimators': 54, 'lgbmregressor__num_leaves': 29, 'lgbmregressor__reg_alpha': 0.5301641059858879, 'lgbmregressor__reg_lambda': 0.9673947669325881, 'lgbmregressor__subsample': 0.36374747118807293, 'lgbmregressor__subsample_freq': 9}",-0.9240111811336763,-0.8758584704276381,-0.7012556978136308,-0.5648592421341307,-0.8282128465883256,-0.636545387674413,-0.72073967167627,-0.5866957529704698,-0.7297722813023193,0.12550583177082786,7,-0.4905999402891319,-0.5342396989956625,-0.5580171078082258,-0.5652733534521662,-0.568057566756751,-0.5919624543206715,-0.5923755875630924,-0.6032129403659577,-0.5629673311939574,0.03435716961536656
5.118824809789658,2.6163267076577483,0.4217933714389801,0.0413557312012507,0.5667676409206,0.1,19,72,16,1.3089496364785558,1.0424520515255704,0.769373197579929,8,"{'lgbmregressor__colsample_bytree': 0.5667676409206, 'lgbmregressor__learning_rate': 0.1, 'lgbmregressor__min_child_samples': 19, 'lgbmregressor__n_estimators': 72, 'lgbmregressor__num_leaves': 16, 'lgbmregressor__reg_alpha': 1.3089496364785558, 'lgbmregressor__reg_lambda': 1.0424520515255704, 'lgbmregressor__subsample': 0.769373197579929, 'lgbmregressor__subsample_freq': 8}",-0.9361228135874384,-0.8908562257235577,-0.7346516400738579,-0.6157432198581714,-0.857513739407379,-0.6506607319815112,-0.7235106543687045,-0.6063341799510764,-0.751924150618962,0.12014681747685785,15,-0.5244527412739974,-0.5819835732190571,-0.6004373930902841,-0.6147714828032347,-0.6141552480313901,-0.6322938072735902,-0.6317513114444353,-0.6425190504601329,-0.6052955759495152,0.03550580836341865
5.448512017726898,2.8414444297191808,0.5076871514320374,0.07692439368536975,0.6270219973561169,0.1,10,77,22,1.2543161920307786,1.2885894621159362,0.22328051936729854,8,"{'lgbmregressor__colsample_bytree': 0.6270219973561169, 'lgbmregressor__learning_rate': 0.1, 'lgbmregressor__min_child_samples': 10, 'lgbmregressor__n_estimators': 77, 'lgbmregressor__num_leaves': 22, 'lgbmregressor__reg_alpha': 1.2543161920307786, 'lgbmregressor__reg_lambda': 1.2885894621159362, 'lgbmregressor__subsample': 0.22328051936729854, 'lgbmregressor__subsample_freq': 8}",-0.9253336005763152,-0.8344285162752323,-0.6960126021698485,-0.5678405239141783,-0.8349551864992403,-0.6298767265479385,-0.7240194983015413,-0.5852389068817899,-0.7247131951457605,0.12161392216657574,6,-0.49174005216287586,-0.5360822713179438,-0.5539363779313805,-0.5656022630746362,-0.5637553708953953,-0.5826794361355063,-0.58774139540252,-0.5942007133819484,-0.5594672350377757,0.031155043389561512
5.654875010251999,2.816741665364972,0.4940272271633148,0.05321535367097018,0.9133117976030158,0.1,19,59,35,0.9082838182762726,1.2526838965098985,0.36810858177505335,2,"{'lgbmregressor__colsample_bytree': 0.9133117976030158, 'lgbmregressor__learning_rate': 0.1, 'lgbmregressor__min_child_samples': 19, 'lgbmregressor__n_estimators': 59, 'lgbmregressor__num_leaves': 35, 'lgbmregressor__reg_alpha': 0.9082838182762726, 'lgbmregressor__reg_lambda': 1.2526838965098985, 'lgbmregressor__subsample': 0.36810858177505335, 'lgbmregressor__subsample_freq': 2}",-0.9071125849580707,-0.8773360189941514,-0.685047819363732,-0.5490061308974397,-0.8103491371465782,-0.6288130738248413,-0.7064311933238006,-0.5729777839201382,-0.717134217803594,0.12670747091617654,4,-0.4697775701012138,-0.5057607427393486,-0.5324936645489645,-0.5335492092084937,-0.537998035728822,-0.5602918814482689,-0.5665701337565793,-0.5734427161851172,-0.5349854942146011,0.03209452370255391
4.823319494724274,2.5428673041739622,0.37078627943992615,0.05026239102716533,0.8108381419013853,0.1,9,78,12,1.3380274397313503,1.3898477449486752,0.8433837357385973,7,"{'lgbmregressor__colsample_bytree': 0.8108381419013853, 'lgbmregressor__learning_rate': 0.1, 'lgbmregressor__min_child_samples': 9, 'lgbmregressor__n_estimators': 78, 'lgbmregressor__num_leaves': 12, 'lgbmregressor__reg_alpha': 1.3380274397313503, 'lgbmregressor__reg_lambda': 1.3898477449486752, 'lgbmregressor__subsample': 0.8433837357385973, 'lgbmregressor__subsample_freq': 7}",-0.9434683998351089,-0.9102830397842755,-0.7630999921658825,-0.6246877924275616,-0.8637320107900546,-0.6625356349215622,-0.6992613414071798,-0.6142465315571782,-0.7601643428611005,0.12235058434640983,16,-0.5380340324969465,-0.5965667920728521,-0.6253847398499037,-0.6309116769660256,-0.6290562512835849,-0.6514205950078551,-0.6555899476624639,-0.659934631623939,-0.6233623333704463,0.03750973465297738
2.424378663301468,1.3069886228805125,0.27587637305259705,0.029920531270634966,0.9216089844621664,0.1,19,51,11,0.5957635330900265,1.043242414077078,0.801435037909092,1,"{'lgbmregressor__colsample_bytree': 0.9216089844621664, 'lgbmregressor__learning_rate': 0.1, 'lgbmregressor__min_child_samples': 19, 'lgbmregressor__n_estimators': 51, 'lgbmregressor__num_leaves': 11, 'lgbmregressor__reg_alpha': 0.5957635330900265, 'lgbmregressor__reg_lambda': 1.043242414077078, 'lgbmregressor__subsample': 0.801435037909092, 'lgbmregressor__subsample_freq': 1}",-1.0101057280293368,-0.9486396992283057,-0.8614613428762289,-0.7258372636487037,-0.9027670255781837,-0.726703577700024,-0.7417975052150936,-0.6495371641875473,-0.820856163307928,0.11937125455555665,20,-0.6236501700942246,-0.6805243740290237,-0.7213890289364743,-0.7260699030079936,-0.7174129043396639,-0.7376833888657499,-0.7341476572468683,-0.7445267850802536,-0.7106755264500315,0.037593111294480286
6.527594894170761,3.1645698255619363,0.5481802523136139,0.04389885061220584,0.7010358654411977,0.1,12,76,37,0.704914520180508,0.9742856379852785,0.37860263168218167,7,"{'lgbmregressor__colsample_bytree': 0.7010358654411977, 'lgbmregressor__learning_rate': 0.1, 'lgbmregressor__min_child_samples': 12, 'lgbmregressor__n_estimators': 76, 'lgbmregressor__num_leaves': 37, 'lgbmregressor__reg_alpha': 0.704914520180508, 'lgbmregressor__reg_lambda': 0.9742856379852785, 'lgbmregressor__subsample': 0.37860263168218167, 'lgbmregressor__subsample_freq': 7}",-0.9158498165719567,-0.848525417409306,-0.6661758512375875,-0.5551141808868719,-0.818034340545471,-0.6081826437535062,-0.7022946832341771,-0.5628427883455679,-0.7096274652480554,0.12807483680917936,1,-0.44466810246567157,-0.481392404850148,-0.5001436096783785,-0.5135548011376114,-0.5120626962888534,-0.5333575644605496,-0.5349604689958289,-0.5426185274745221,-0.5078447719189454,0.030405797541237272
5.454223692417145,2.9539239766611254,0.42438775300979614,0.03507855819201357,0.6146888905353505,0.1,14,51,39,1.2318037686786787,0.9882967477487886,0.557199625181523,9,"{'lgbmregressor__colsample_bytree': 0.6146888905353505, 'lgbmregressor__learning_rate': 0.1, 'lgbmregressor__min_child_samples': 14, 'lgbmregressor__n_estimators': 51, 'lgbmregressor__num_leaves': 39, 'lgbmregressor__reg_alpha': 1.2318037686786787, 'lgbmregressor__reg_lambda': 0.9882967477487886, 'lgbmregressor__subsample': 0.557199625181523, 'lgbmregressor__subsample_freq': 9}",-0.9574725432584252,-0.8371500084046648,-0.71071196424771,-0.5857217505495681,-0.8415082778741126,-0.6287162894193307,-0.7199955337756987,-0.5691269848985312,-0.7313004190535052,0.1289730095326298,10,-0.48608615875748673,-0.5328357559531526,-0.5501780520812547,-0.5594985165729908,-0.5591716555296514,-0.5839611093593452,-0.5836647211463386,-0.5898497432320007,-0.5556557140790276,0.031962358293278696
7.021265298128128,3.9047913968049106,0.5175657272338867,0.04163451803218077,0.7840952872917659,0.1,8,68,32,1.4893665808808614,1.0994436594026908,0.9803849027719382,8,"{'lgbmregressor__colsample_bytree': 0.7840952872917659, 'lgbmregressor__learning_rate': 0.1, 'lgbmregressor__min_child_samples': 8, 'lgbmregressor__n_estimators': 68, 'lgbmregressor__num_leaves': 32, 'lgbmregressor__reg_alpha': 1.4893665808808614, 'lgbmregressor__reg_lambda': 1.0994436594026908, 'lgbmregressor__subsample': 0.9803849027719382, 'lgbmregressor__subsample_freq': 8}",-0.9187422273667158,-0.8700276437834059,-0.6674316498410474,-0.5436315704296396,-0.8125939516533324,-0.6265942316505465,-0.6881797076403491,-0.5744313824184185,-0.7127040455979319,0.12988033169736224,3,-0.45655796987874525,-0.5007070601359055,-0.5181183231831342,-0.5313284052103937,-0.5350046037446533,-0.5569370026174508,-0.558105510159814,-0.568320149106024,-0.5281348780045152,0.0342343381629409
4.377714276313782,2.1010907097120417,0.32101988792419434,0.048653152883182546,0.8023636343421618,0.1,13,53,12,0.8532740651061592,0.9180955989602703,0.9010985068459619,6,"{'lgbmregressor__colsample_bytree': 0.8023636343421618, 'lgbmregressor__learning_rate': 0.1, 'lgbmregressor__min_child_samples': 13, 'lgbmregressor__n_estimators': 53, 'lgbmregressor__num_leaves': 12, 'lgbmregressor__reg_alpha': 0.8532740651061592, 'lgbmregressor__reg_lambda': 0.9180955989602703, 'lgbmregressor__subsample': 0.9010985068459619, 'lgbmregressor__subsample_freq': 6}",-0.9943442565598024,-0.9251673256602725,-0.8073741614618118,-0.6825734472162326,-0.8696892681062209,-0.7073393026112985,-0.7270515041413343,-0.6384419472686181,-0.7939976516281988,0.11824592166275655,19,-0.6054629324399994,-0.6619261492648864,-0.6931384137655662,-0.6980025568305096,-0.6889718061172235,-0.7132244474529392,-0.7153503595120143,-0.7173927125191565,-0.6866836722377869,0.03509629035528545
