mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lgbmregressor__colsample_bytree,param_lgbmregressor__learning_rate,param_lgbmregressor__min_child_samples,param_lgbmregressor__n_estimators,param_lgbmregressor__num_leaves,param_lgbmregressor__subsample,param_lgbmregressor__subsample_freq,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,mean_train_score,std_train_score
51.087315171957016,33.65507733398361,5.331697314977646,2.4667933789591334,0.34426330089930945,0.1,15,822,39,0.9812695232116189,2,"{'lgbmregressor__colsample_bytree': 0.34426330089930945, 'lgbmregressor__learning_rate': 0.1, 'lgbmregressor__min_child_samples': 15, 'lgbmregressor__n_estimators': 822, 'lgbmregressor__num_leaves': 39, 'lgbmregressor__subsample': 0.9812695232116189, 'lgbmregressor__subsample_freq': 2}",-1.5754306469610182,-1.523990535444987,-1.5784233325984292,-1.4611160186669692,-1.539256570054178,-1.30937032372829,-1.0958951588539687,-1.101246439376083,-1.3980911282104904,0.1907321560174592,8,-0.380002296662496,-0.4641397801428684,-0.5176492771874955,-0.5920122132074458,-0.6719585999583938,-0.7177723884467256,-0.7394581580853521,-0.7705812054125101,-0.606696739887911,0.13273025539743272
32.65225648880005,20.176593766321627,4.491926431655884,1.5032279402222617,0.7979556364997806,0.1,14,824,38,0.6937195849752341,1,"{'lgbmregressor__colsample_bytree': 0.7979556364997806, 'lgbmregressor__learning_rate': 0.1, 'lgbmregressor__min_child_samples': 14, 'lgbmregressor__n_estimators': 824, 'lgbmregressor__num_leaves': 38, 'lgbmregressor__subsample': 0.6937195849752341, 'lgbmregressor__subsample_freq': 1}",-1.5818033863600303,-1.4976749168564039,-1.5728892788737687,-1.4642018078781207,-1.543393912618129,-1.348189962588704,-1.064416786083826,-1.1204264080010562,-1.3991245574075049,0.19059869009233926,9,-0.3389345342736175,-0.4119398564470779,-0.4576174929926249,-0.5079625948395623,-0.5582954042243354,-0.6027613261418122,-0.6311179460773038,-0.6544970019051557,-0.5203907696126862,0.10443273478127006
64.23192775249481,33.31727623696264,4.795700788497925,0.3266611865915994,0.053914431949413144,0.1,13,794,32,0.1986916025273192,8,"{'lgbmregressor__colsample_bytree': 0.053914431949413144, 'lgbmregressor__learning_rate': 0.1, 'lgbmregressor__min_child_samples': 13, 'lgbmregressor__n_estimators': 794, 'lgbmregressor__num_leaves': 32, 'lgbmregressor__subsample': 0.1986916025273192, 'lgbmregressor__subsample_freq': 8}",-1.6584310336879655,-1.5027868709529812,-1.5362745448519004,-1.3527432171057936,-1.5291666557980113,-1.3387567038595456,-1.11743869756709,-1.0539915399143442,-1.386198657967204,0.19894389572119534,4,-0.7479776307576677,-0.9458565740809038,-1.019704391493408,-1.0826499204229745,-1.1208872862600763,-1.1632767586125394,-1.1735587735659176,-1.1595543938657098,-1.0516832161323997,0.13654216715287104
58.9214448928833,23.43035488230467,5.3647090792655945,0.8245207415252459,0.4016912405643981,0.1,16,958,23,0.3783931289328121,2,"{'lgbmregressor__colsample_bytree': 0.4016912405643981, 'lgbmregressor__learning_rate': 0.1, 'lgbmregressor__min_child_samples': 16, 'lgbmregressor__n_estimators': 958, 'lgbmregressor__num_leaves': 23, 'lgbmregressor__subsample': 0.3783931289328121, 'lgbmregressor__subsample_freq': 2}",-1.5672104699229028,-1.4831541082750586,-1.5817880257440147,-1.4645769390300345,-1.533637951350673,-1.3233632603742391,-1.0589158474877352,-1.1013996542328777,-1.3892557820521918,0.1937783418198806,6,-0.4066009314478194,-0.5059791934417177,-0.578724326860849,-0.6604336515242154,-0.7397245868320724,-0.7801518783402122,-0.8152700514635921,-0.8317926695719272,-0.6648346611853007,0.14524394226525061
51.497461289167404,20.569251663626318,7.239385157823563,1.0526051986600615,0.715208390672772,0.1,8,960,44,0.1690091443273274,9,"{'lgbmregressor__colsample_bytree': 0.715208390672772, 'lgbmregressor__learning_rate': 0.1, 'lgbmregressor__min_child_samples': 8, 'lgbmregressor__n_estimators': 960, 'lgbmregressor__num_leaves': 44, 'lgbmregressor__subsample': 0.1690091443273274, 'lgbmregressor__subsample_freq': 9}",-1.5608148585913229,-1.481200785092076,-1.5904995801697146,-1.5029306213274483,-1.5653444655139601,-1.3550997087213388,-1.0815139313887243,-1.1246974701264363,-1.4077626776163776,0.18889064398219232,11,-0.3623249465748297,-0.4188398787444409,-0.45272975840537794,-0.4982306035314636,-0.5442442525215594,-0.5770546240815675,-0.6036100998856028,-0.6302001843610346,-0.5109042935132346,0.08832459521944495
49.20963728427887,25.69589841733385,5.23496812582016,0.37051642897216847,0.20523255615106983,0.1,13,889,14,0.03747432222316083,8,"{'lgbmregressor__colsample_bytree': 0.20523255615106983, 'lgbmregressor__learning_rate': 0.1, 'lgbmregressor__min_child_samples': 13, 'lgbmregressor__n_estimators': 889, 'lgbmregressor__num_leaves': 14, 'lgbmregressor__subsample': 0.03747432222316083, 'lgbmregressor__subsample_freq': 8}",-1.5688106461918212,-1.4412005877260123,-1.5754976820276378,-1.3601812340136894,-1.5248851606059235,-1.3102171122038182,-1.0668732127842315,-1.0638370293123862,-1.36393783310819,0.1935884564203674,2,-0.6757860901023138,-0.8610408751064833,-0.9506235268232134,-1.0204006398519117,-1.0648285341947274,-1.0945662894524193,-1.1051309644307037,-1.0988645789239124,-0.9839051873607106,0.14105779959624695
50.618846386671066,22.57303950759335,5.849313467741013,0.6085809394416902,0.967214528492231,0.1,19,855,36,0.5026124420447671,4,"{'lgbmregressor__colsample_bytree': 0.967214528492231, 'lgbmregressor__learning_rate': 0.1, 'lgbmregressor__min_child_samples': 19, 'lgbmregressor__n_estimators': 855, 'lgbmregressor__num_leaves': 36, 'lgbmregressor__subsample': 0.5026124420447671, 'lgbmregressor__subsample_freq': 4}",-1.5944929975699058,-1.4904425090166828,-1.5813200088201886,-1.5192972880106437,-1.5365866067109097,-1.3667382975447644,-1.0601259169957515,-1.1253124278681814,-1.4092895065671285,0.1946650004407557,12,-0.35133718005163234,-0.41365818289776585,-0.456957516129399,-0.5035566236139103,-0.5605454073885723,-0.5915414691191816,-0.6250238941805096,-0.6488090381955247,-0.5189286639470619,0.09897928112950877
68.65699344873428,34.90952292493654,6.201341092586517,0.5215456798742243,0.4805584775838687,0.1,16,871,29,0.4083391712145532,2,"{'lgbmregressor__colsample_bytree': 0.4805584775838687, 'lgbmregressor__learning_rate': 0.1, 'lgbmregressor__min_child_samples': 16, 'lgbmregressor__n_estimators': 871, 'lgbmregressor__num_leaves': 29, 'lgbmregressor__subsample': 0.4083391712145532, 'lgbmregressor__subsample_freq': 2}",-1.5700461472869371,-1.4910404705125146,-1.566190682246519,-1.4484125219442747,-1.5385256896680293,-1.338655055591371,-1.0630106564867314,-1.107000567647246,-1.3903602239229529,0.18999566648523689,7,-0.3854201415502491,-0.46531631771853654,-0.5252550320105384,-0.5963031063248514,-0.6684105252998048,-0.7123908255760106,-0.7477857059095133,-0.7723908407489943,-0.6091590618923123,0.13133187653831105
46.2590888440609,22.97152104992262,5.089266419410706,0.7320157109049469,0.8969360265469581,0.1,10,890,18,0.07777849199757547,3,"{'lgbmregressor__colsample_bytree': 0.8969360265469581, 'lgbmregressor__learning_rate': 0.1, 'lgbmregressor__min_child_samples': 10, 'lgbmregressor__n_estimators': 890, 'lgbmregressor__num_leaves': 18, 'lgbmregressor__subsample': 0.07777849199757547, 'lgbmregressor__subsample_freq': 3}",-1.6046440926819603,-1.5011179096980352,-1.6518909355521252,-1.5168692989046757,-1.529036544797409,-1.3412358104585569,-1.0675033379395937,-1.1170242127719288,-1.4161652678505356,0.20550364108637365,14,-0.46213960557053213,-0.5591015705811622,-0.6278492950379154,-0.7015993045460277,-0.7679283136030183,-0.8104795537315561,-0.8467714966147137,-0.8565028625307027,-0.7040465002769536,0.13433271619237233
66.32481437921524,30.150031240953645,11.265219628810883,1.2850933279710115,0.8316961621326591,0.1,17,975,34,0.13517483811592312,9,"{'lgbmregressor__colsample_bytree': 0.8316961621326591, 'lgbmregressor__learning_rate': 0.1, 'lgbmregressor__min_child_samples': 17, 'lgbmregressor__n_estimators': 975, 'lgbmregressor__num_leaves': 34, 'lgbmregressor__subsample': 0.13517483811592312, 'lgbmregressor__subsample_freq': 9}",-1.645045188805635,-1.5286710935182992,-1.5811641349913244,-1.4999163837911198,-1.5540175682356832,-1.3755738934360748,-1.0833703219407287,-1.125027946910249,-1.4240983164536392,0.1984134951903636,15,-0.39916965922591147,-0.44705032531670436,-0.4888957248243532,-0.5402977337660296,-0.5948307339070364,-0.6318242355279962,-0.6651880659223488,-0.6908792100454476,-0.5572669610669785,0.0991047844590471
