mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgbregressor__colsample_bylevel,param_xgbregressor__colsample_bynode,param_xgbregressor__colsample_bytree,param_xgbregressor__learning_rate,param_xgbregressor__max_depth,param_xgbregressor__n_estimators,param_xgbregressor__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,mean_train_score,std_train_score
15.701583176851273,8.679831544056789,1.2777906656265259,0.24180523971168733,0.014703686635942237,0.20798286562680313,0.6994579266082206,0.5959912841843636,19,198,0.4458259392170786,"{'xgbregressor__colsample_bylevel': 0.014703686635942237, 'xgbregressor__colsample_bynode': 0.20798286562680313, 'xgbregressor__colsample_bytree': 0.6994579266082206, 'xgbregressor__learning_rate': 0.5959912841843636, 'xgbregressor__max_depth': 19, 'xgbregressor__n_estimators': 198, 'xgbregressor__subsample': 0.4458259392170786}",-1.5414348100068629,-1.4389161005380806,-1.6205133447117859,-1.3454201212523833,-1.5160827703300028,-1.2888169433162788,-1.0805540390378268,-1.062779069018894,-1.3618146497765142,0.19463393809828064,3,-1.1246486861219356,-1.1686059464666454,-1.2024792984766726,-1.2636292683867871,-1.2400662309665136,-1.2573040869165966,-1.2687113043493279,-1.2482724307505326,-1.2217146565543764,0.048588269545927376
36.269956171512604,17.522756257589094,3.0817238092422485,0.6218740282131399,0.029216226526884825,0.41607433535323357,0.71527626494765,0.36058733501690066,19,674,0.8879396919321434,"{'xgbregressor__colsample_bylevel': 0.029216226526884825, 'xgbregressor__colsample_bynode': 0.41607433535323357, 'xgbregressor__colsample_bytree': 0.71527626494765, 'xgbregressor__learning_rate': 0.36058733501690066, 'xgbregressor__max_depth': 19, 'xgbregressor__n_estimators': 674, 'xgbregressor__subsample': 0.8879396919321434}",-1.49614886485346,-1.3916761050761328,-1.6712885229066468,-1.3435272686416422,-1.520277483646618,-1.2867903934966063,-1.0553670290970152,-1.0465232210592057,-1.351449861097166,0.20562234847778965,2,-1.0293555706432158,-1.0957890215851243,-1.1300955596484157,-1.175728830394235,-1.1886830653505376,-1.2073577622952767,-1.2105416968354035,-1.1796043569843058,-1.1521444829670644,0.05899500504885839
23.86290317773819,10.746858275839232,1.5603661239147186,0.21137143266883573,0.5340406442589676,0.4479398401130642,0.12925358668474918,0.8695771849910829,4,608,0.7065782641874468,"{'xgbregressor__colsample_bylevel': 0.5340406442589676, 'xgbregressor__colsample_bynode': 0.4479398401130642, 'xgbregressor__colsample_bytree': 0.12925358668474918, 'xgbregressor__learning_rate': 0.8695771849910829, 'xgbregressor__max_depth': 4, 'xgbregressor__n_estimators': 608, 'xgbregressor__subsample': 0.7065782641874468}",-1.6008873924826716,-1.4720571788061805,-1.9072238936308172,-1.3879806409369222,-1.5704171007402272,-1.4058412103008104,-1.0912975341552278,-1.1047792384447803,-1.4425605236872048,0.250001489435669,11,-0.9208932935271744,-1.076538740667259,-1.1238600428915742,-1.1745651995430806,-1.1770143108246118,-1.247503682695696,-1.2322732165477819,-1.2003634168675772,-1.1441264879455941,0.09901975677688056
74.56437680125237,34.770767620982724,27.04085463285446,3.9055711536998197,0.509183659370874,0.9386808782490935,0.2944407948247739,0.5144181401803651,15,559,0.9663957652791685,"{'xgbregressor__colsample_bylevel': 0.509183659370874, 'xgbregressor__colsample_bynode': 0.9386808782490935, 'xgbregressor__colsample_bytree': 0.2944407948247739, 'xgbregressor__learning_rate': 0.5144181401803651, 'xgbregressor__max_depth': 15, 'xgbregressor__n_estimators': 559, 'xgbregressor__subsample': 0.9663957652791685}",-1.6802907749661824,-1.544890852346509,-1.7917978210104653,-1.6267933612561094,-1.670205954504552,-1.5930797927436002,-1.3181473684509715,-1.2947432333521913,-1.5649936448288226,0.163853486629182,13,-0.037907698185399595,-0.08673809329032747,-0.1062872113495331,-0.12623269884795382,-0.14963866330748596,-0.15787671604214096,-0.16434021826639383,-0.19812281202047274,-0.12839301391371344,0.04729055243508848
10.44716489315033,5.03045714276949,0.9267944991588593,0.185490331338396,0.5029845375811202,0.7596074925592592,0.07881593328155445,0.24857363550345113,18,118,0.66905368935511,"{'xgbregressor__colsample_bylevel': 0.5029845375811202, 'xgbregressor__colsample_bynode': 0.7596074925592592, 'xgbregressor__colsample_bytree': 0.07881593328155445, 'xgbregressor__learning_rate': 0.24857363550345113, 'xgbregressor__max_depth': 18, 'xgbregressor__n_estimators': 118, 'xgbregressor__subsample': 0.66905368935511}",-1.4986718815517146,-1.362430413660093,-1.5104395610569772,-1.3912453493182821,-1.4860528691198047,-1.3510094041706675,-1.0803014670900848,-1.071614388884955,-1.3439706668565723,0.16513490753674837,1,-1.1033581571521867,-1.1233092244549447,-1.0801524326690486,-0.9996520023558991,-1.0892488369850957,-1.234547944873491,-1.1361951869659823,-1.2224869183427638,-1.1236188379749266,0.07166529962825681
33.94399130344391,16.070940436487707,6.032855749130249,0.468599562090825,0.975159523504489,0.4536367436187637,0.7512235244150836,0.5411853850413432,11,389,0.09590467315288809,"{'xgbregressor__colsample_bylevel': 0.975159523504489, 'xgbregressor__colsample_bynode': 0.4536367436187637, 'xgbregressor__colsample_bytree': 0.7512235244150836, 'xgbregressor__learning_rate': 0.5411853850413432, 'xgbregressor__max_depth': 11, 'xgbregressor__n_estimators': 389, 'xgbregressor__subsample': 0.09590467315288809}",-4.818154206299814,-3.7630477415173327,-3.604347943295348,-2.574251390232651,-2.349163389803033,-2.3853274289066317,-2.3179007520555044,-2.189204061764815,-3.0001746142343912,0.8915215046071409,20,-2.059989236733233,-1.4362859741838216,-1.3138610218176878,-1.323580447503288,-1.2376691784847729,-1.2260103876198682,-1.2662268355089177,-1.3965647711114386,-1.4075234816203785,0.25598834325321573
26.995673924684525,11.625877267400183,3.270275801420212,0.30870193934401396,0.6763489847245933,0.6800764188715317,0.9416680422083545,0.9663427641914268,11,202,0.4903601773619406,"{'xgbregressor__colsample_bylevel': 0.6763489847245933, 'xgbregressor__colsample_bynode': 0.6800764188715317, 'xgbregressor__colsample_bytree': 0.9416680422083545, 'xgbregressor__learning_rate': 0.9663427641914268, 'xgbregressor__max_depth': 11, 'xgbregressor__n_estimators': 202, 'xgbregressor__subsample': 0.4903601773619406}",-2.043453153077633,-2.188394058882243,-2.53302425077951,-2.2526276080837073,-2.028112283034491,-1.9984683983030909,-1.6809259965212688,-1.5698294075816424,-2.036854394532948,0.2876842217578202,18,-0.2084609976953916,-0.307685303944278,-0.35480182702602986,-0.3947472938741427,-0.4128059849202949,-0.43822712386295126,-0.4681303232450903,-0.4669307941360673,-0.3814737060880308,0.08312689707790934
66.98255434632301,37.424376792920796,16.97705003619194,4.0021720969288825,0.24992613595554158,0.5958795988872524,0.3241272202071299,0.974030883653691,18,775,0.5277318899994207,"{'xgbregressor__colsample_bylevel': 0.24992613595554158, 'xgbregressor__colsample_bynode': 0.5958795988872524, 'xgbregressor__colsample_bytree': 0.3241272202071299, 'xgbregressor__learning_rate': 0.974030883653691, 'xgbregressor__max_depth': 18, 'xgbregressor__n_estimators': 775, 'xgbregressor__subsample': 0.5277318899994207}",-2.1194792443679034,-2.0437964101836323,-2.4205469981663406,-2.090483580164829,-1.9930540794321412,-1.9442712751109057,-1.588150438261078,-1.4812859573116304,-1.9601334978748075,0.280705366792575,17,-0.4292877512434186,-0.5170807866561465,-0.5593772440472641,-0.5738053147793123,-0.6343796362128196,-0.6623538867187594,-0.6753570300421055,-0.663781661741079,-0.5894279139301131,0.08083720874961295
25.640962660312653,16.864431892366394,2.6478635370731354,0.6253866057087042,0.701544812678398,0.1882836069048942,0.48847761869531336,0.8039538622445914,13,189,0.23089205029098436,"{'xgbregressor__colsample_bylevel': 0.701544812678398, 'xgbregressor__colsample_bynode': 0.1882836069048942, 'xgbregressor__colsample_bytree': 0.48847761869531336, 'xgbregressor__learning_rate': 0.8039538622445914, 'xgbregressor__max_depth': 13, 'xgbregressor__n_estimators': 189, 'xgbregressor__subsample': 0.23089205029098436}",-1.8874792818893658,-2.038064206297634,-2.3413383270160883,-1.8860713593605696,-1.7808779624224809,-1.6147531509078576,-1.3790410893232854,-1.2790390509035932,-1.7758330535151094,0.3246919860115054,15,-0.7042337283249929,-0.7702015195569725,-0.8569287546831783,-0.9051762913145294,-0.9344367132366614,-0.9918614767619977,-0.9735277289879761,-0.9583961327912268,-0.886845293207192,0.09624869331312201
35.551847487688065,21.739799216938064,3.7597078382968903,0.7199134546530932,0.2189834177983545,0.508463198031918,0.8768491419809519,0.4437319682146482,9,395,0.015318019415966333,"{'xgbregressor__colsample_bylevel': 0.2189834177983545, 'xgbregressor__colsample_bynode': 0.508463198031918, 'xgbregressor__colsample_bytree': 0.8768491419809519, 'xgbregressor__learning_rate': 0.4437319682146482, 'xgbregressor__max_depth': 9, 'xgbregressor__n_estimators': 395, 'xgbregressor__subsample': 0.015318019415966333}",-3.817212806488883,-2.930999942795114,-3.7970550575522153,-2.353470713229315,-2.1494479310950707,-2.052526168813346,-1.8028477914408827,-1.5368281115680473,-2.5550485653728594,0.8167949021364662,19,-2.596752927737435,-1.8790961754294733,-1.7653565724205666,-1.749463105829531,-1.6819357643112933,-1.6545693572455156,-1.5754050649425966,-1.5057511972993585,-1.8010412706519712,0.3195566033508322
