mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgbregressor__colsample_bylevel,param_xgbregressor__colsample_bynode,param_xgbregressor__colsample_bytree,param_xgbregressor__gamma,param_xgbregressor__learning_rate,param_xgbregressor__max_depth,param_xgbregressor__n_estimators,param_xgbregressor__reg_alpha,param_xgbregressor__reg_lambda,param_xgbregressor__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,mean_train_score,std_train_score
5.308717846870422,2.5659270157742693,0.49133944511413574,0.040444010438496665,0.3668868733020374,0.5230026576204184,0.5518873152042675,1.9642489540144452,0.05590690830387682,11,118,0.3763467969207902,0.13517638765231946,0.6373039067523558,"{'xgbregressor__colsample_bylevel': 0.3668868733020374, 'xgbregressor__colsample_bynode': 0.5230026576204184, 'xgbregressor__colsample_bytree': 0.5518873152042675, 'xgbregressor__gamma': 1.9642489540144452, 'xgbregressor__learning_rate': 0.05590690830387682, 'xgbregressor__max_depth': 11, 'xgbregressor__n_estimators': 118, 'xgbregressor__reg_alpha': 0.3763467969207902, 'xgbregressor__reg_lambda': 0.13517638765231946, 'xgbregressor__subsample': 0.6373039067523558}",-0.933745199315734,-0.8577552187981355,-0.7440574064757526,-0.5935948972457029,-0.8298622156915989,-0.6146286535489844,-0.6807774672682116,-0.561230898551951,-0.7269564946120088,0.12784377113546547,35,-0.48038896585652446,-0.5178118507776683,-0.5404164333527024,-0.5569080108415525,-0.5583742470996143,-0.5840290798141525,-0.581487719062954,-0.585549989251566,-0.5506207870070918,0.034463095934900705
4.0048134326934814,2.000838462242696,0.3852888345718384,0.03868165696377117,0.3475370761709712,0.48238353111167703,0.7529692213501021,1.238543928307156,0.040798742717618026,12,68,0.8652200844871262,0.8686005562415228,0.47907993808646954,"{'xgbregressor__colsample_bylevel': 0.3475370761709712, 'xgbregressor__colsample_bynode': 0.48238353111167703, 'xgbregressor__colsample_bytree': 0.7529692213501021, 'xgbregressor__gamma': 1.238543928307156, 'xgbregressor__learning_rate': 0.040798742717618026, 'xgbregressor__max_depth': 12, 'xgbregressor__n_estimators': 68, 'xgbregressor__reg_alpha': 0.8652200844871262, 'xgbregressor__reg_lambda': 0.8686005562415228, 'xgbregressor__subsample': 0.47907993808646954}",-0.9800196702141335,-0.9012227154045666,-0.8763715183544777,-0.7609821962088583,-0.8954387514434196,-0.7832954097294026,-0.7940090266013113,-0.6586566215529576,-0.8312494886886409,0.09460266530745491,63,-0.6852304808798146,-0.7160234135170843,-0.7453481179476327,-0.7500567543261148,-0.7509617185599339,-0.7734312488310828,-0.7656597325936381,-0.776737402087883,-0.7454311085928981,0.028970261333695013
4.224020421504974,2.314695862997498,0.3850245773792267,0.08641886066134985,0.34345786060209044,0.6486830772106139,0.4978357969250492,3.172566383963057,0.02541068967215407,5,144,0.6377113285249922,0.7480800370364898,0.44249955193037865,"{'xgbregressor__colsample_bylevel': 0.34345786060209044, 'xgbregressor__colsample_bynode': 0.6486830772106139, 'xgbregressor__colsample_bytree': 0.4978357969250492, 'xgbregressor__gamma': 3.172566383963057, 'xgbregressor__learning_rate': 0.02541068967215407, 'xgbregressor__max_depth': 5, 'xgbregressor__n_estimators': 144, 'xgbregressor__reg_alpha': 0.6377113285249922, 'xgbregressor__reg_lambda': 0.7480800370364898, 'xgbregressor__subsample': 0.44249955193037865}",-1.1931318373463955,-1.064692815262395,-1.0935349949551965,-0.9954031068148701,-1.0820327215614791,-0.9645009383108468,-0.8803017746769751,-0.8328142976459828,-1.0133015608217675,0.1113035357108618,85,-0.8990625611269526,-0.9476160221403654,-0.9815177837054564,-0.9953835366332581,-0.9991381385564708,-1.0006251922090446,-1.0005603477343266,-0.9944204411640506,-0.9772905029087406,0.033915632139828907
5.29702091217041,2.6399066802791276,0.487490177154541,0.10000272774214067,0.6629334954765824,0.3481125698437392,0.5601732842941282,0.601568484677089,0.03848942806311784,12,85,0.1079719007244071,0.46799796751110845,0.5468359946300538,"{'xgbregressor__colsample_bylevel': 0.6629334954765824, 'xgbregressor__colsample_bynode': 0.3481125698437392, 'xgbregressor__colsample_bytree': 0.5601732842941282, 'xgbregressor__gamma': 0.601568484677089, 'xgbregressor__learning_rate': 0.03848942806311784, 'xgbregressor__max_depth': 12, 'xgbregressor__n_estimators': 85, 'xgbregressor__reg_alpha': 0.1079719007244071, 'xgbregressor__reg_lambda': 0.46799796751110845, 'xgbregressor__subsample': 0.5468359946300538}",-0.9991642766766007,-0.909435875610409,-0.8486923951363204,-0.7393928476881924,-0.8833315997325201,-0.751888004421739,-0.7306771879334133,-0.6246930279220013,-0.8109094018901495,0.11265643689879716,60,-0.6124671281034713,-0.6624047511915381,-0.6913035460226549,-0.7118341659877573,-0.7067390885366966,-0.7283846838510537,-0.7244032698588139,-0.7267968039519589,-0.695541679687993,0.03757785768452286
6.534155696630478,3.206556771529458,0.7930421531200409,0.09665690920258915,0.6923204909935119,0.4023888651786646,0.35914486212648483,0.9185953492528186,0.0843532360773626,16,132,0.6373704513691841,0.34966132750675205,0.6577663536293266,"{'xgbregressor__colsample_bylevel': 0.6923204909935119, 'xgbregressor__colsample_bynode': 0.4023888651786646, 'xgbregressor__colsample_bytree': 0.35914486212648483, 'xgbregressor__gamma': 0.9185953492528186, 'xgbregressor__learning_rate': 0.0843532360773626, 'xgbregressor__max_depth': 16, 'xgbregressor__n_estimators': 132, 'xgbregressor__reg_alpha': 0.6373704513691841, 'xgbregressor__reg_lambda': 0.34966132750675205, 'xgbregressor__subsample': 0.6577663536293266}",-0.9708223123558068,-0.8019915684699304,-0.6778146624797143,-0.529920237008942,-0.808405391108272,-0.5677898668957981,-0.6555799595790233,-0.5219389861337634,-0.6917828730039063,0.14812843381967902,14,-0.3761996259419725,-0.39499521873716775,-0.40290766462901173,-0.4125774549817429,-0.415788395850127,-0.42912227027799343,-0.43056304590676087,-0.43201337485638963,-0.4117708813976457,0.01839177585105352
7.815098613500595,3.9121952313947914,1.0809191465377808,0.1320471971706094,0.3963984349504392,0.46063262053324266,0.6361382206410268,0.6444595453277456,0.025705272306105448,15,148,0.3627939991230418,0.6504618712559291,0.7507762630057666,"{'xgbregressor__colsample_bylevel': 0.3963984349504392, 'xgbregressor__colsample_bynode': 0.46063262053324266, 'xgbregressor__colsample_bytree': 0.6361382206410268, 'xgbregressor__gamma': 0.6444595453277456, 'xgbregressor__learning_rate': 0.025705272306105448, 'xgbregressor__max_depth': 15, 'xgbregressor__n_estimators': 148, 'xgbregressor__reg_alpha': 0.3627939991230418, 'xgbregressor__reg_lambda': 0.6504618712559291, 'xgbregressor__subsample': 0.7507762630057666}",-0.9531121177945778,-0.8577064464182721,-0.7565273229355427,-0.6155893973065301,-0.8307051772284209,-0.6352807955379558,-0.6730535018124519,-0.548029466274858,-0.7337505281635761,0.13001843424919385,39,-0.49836533246807946,-0.5327797537524253,-0.5608993162635261,-0.5742124176335595,-0.5746971706198916,-0.6005425320250065,-0.6024131438171183,-0.6041556438590349,-0.5685081638048302,0.034949542561257735
5.228729993104935,2.7341131838436916,0.6292515993118286,0.10291446463660772,0.4692272196572457,0.34648774631290447,0.5910324508998113,2.2132073309207843,0.04181711197851328,18,79,0.4079528051607393,0.48498224049974137,0.47038768148971855,"{'xgbregressor__colsample_bylevel': 0.4692272196572457, 'xgbregressor__colsample_bynode': 0.34648774631290447, 'xgbregressor__colsample_bytree': 0.5910324508998113, 'xgbregressor__gamma': 2.2132073309207843, 'xgbregressor__learning_rate': 0.04181711197851328, 'xgbregressor__max_depth': 18, 'xgbregressor__n_estimators': 79, 'xgbregressor__reg_alpha': 0.4079528051607393, 'xgbregressor__reg_lambda': 0.48498224049974137, 'xgbregressor__subsample': 0.47038768148971855}",-0.9590771553238443,-0.8352231767823961,-0.7877128167194374,-0.6378976574659551,-0.8326716451591647,-0.6769039186999605,-0.7024044793491248,-0.5518732835403215,-0.7479705166300256,0.12177317820419406,45,-0.550395057291916,-0.5767703535742609,-0.5935966113479088,-0.5935435599421763,-0.595589941330142,-0.6171582539256274,-0.6159977246749027,-0.6175980371046199,-0.5950811923989442,0.021705042250635537
4.07155504822731,2.027818993289661,0.4327281415462494,0.07216370722689876,0.49231928882300907,0.5075918977413367,0.7967770492542778,3.508117438768286,0.01387011545714624,15,59,0.2542524748764291,0.4728792410059278,0.31916489231414896,"{'xgbregressor__colsample_bylevel': 0.49231928882300907, 'xgbregressor__colsample_bynode': 0.5075918977413367, 'xgbregressor__colsample_bytree': 0.7967770492542778, 'xgbregressor__gamma': 3.508117438768286, 'xgbregressor__learning_rate': 0.01387011545714624, 'xgbregressor__max_depth': 15, 'xgbregressor__n_estimators': 59, 'xgbregressor__reg_alpha': 0.2542524748764291, 'xgbregressor__reg_lambda': 0.4728792410059278, 'xgbregressor__subsample': 0.31916489231414896}",-1.4362445183338062,-1.4389611938976719,-1.4692019345035243,-1.5425078071500837,-1.5386553580513092,-1.698220619983752,-1.6608259048928475,-1.5440211020393912,-1.5410798048565484,0.09057732115828365,100,-1.6883228867474387,-1.6147078714695766,-1.5630681149364902,-1.5478776470695574,-1.537843013370142,-1.563444321134686,-1.5686723828903748,-1.572141354082483,-1.5820096989625936,0.04536805395170361
3.511250823736191,1.8522892753350264,0.37932610511779785,0.03854703063458298,0.5765592485566008,0.5803291976923541,0.5159768084566047,4.916142464633854,0.03821024774224605,9,59,0.22696965150390103,0.8923722793978665,0.6268578326407993,"{'xgbregressor__colsample_bylevel': 0.5765592485566008, 'xgbregressor__colsample_bynode': 0.5803291976923541, 'xgbregressor__colsample_bytree': 0.5159768084566047, 'xgbregressor__gamma': 4.916142464633854, 'xgbregressor__learning_rate': 0.03821024774224605, 'xgbregressor__max_depth': 9, 'xgbregressor__n_estimators': 59, 'xgbregressor__reg_alpha': 0.22696965150390103, 'xgbregressor__reg_lambda': 0.8923722793978665, 'xgbregressor__subsample': 0.6268578326407993}",-1.0732011654021838,-1.0200306464451103,-1.0511292284400924,-0.9599457421165583,-1.0225743919851458,-0.9541449735736818,-0.946145602756532,-0.8123571448663154,-0.9799411119482025,0.07704035539650508,84,-0.877991540517824,-0.9381984172697989,-0.9574822728621895,-0.9608891699524912,-0.9606725601666042,-0.9688253667802157,-0.9680235601417232,-0.9586396049701047,-0.948840311582619,0.02818706368334239
4.784945249557495,2.6348801771022474,0.46194905042648315,0.04862800945977145,0.6476296078648939,0.4461995673845275,0.3804752736086163,2.7117608484283933,0.10466251029187337,10,85,0.17040864625316637,0.1369171394283738,0.6747335249144315,"{'xgbregressor__colsample_bylevel': 0.6476296078648939, 'xgbregressor__colsample_bynode': 0.4461995673845275, 'xgbregressor__colsample_bytree': 0.3804752736086163, 'xgbregressor__gamma': 2.7117608484283933, 'xgbregressor__learning_rate': 0.10466251029187337, 'xgbregressor__max_depth': 10, 'xgbregressor__n_estimators': 85, 'xgbregressor__reg_alpha': 0.17040864625316637, 'xgbregressor__reg_lambda': 0.1369171394283738, 'xgbregressor__subsample': 0.6747335249144315}",-0.9523801003819891,-0.8321267291068497,-0.7187120684455699,-0.5703949749108983,-0.8325413217521217,-0.595603279581228,-0.6663211558181243,-0.5597293993129304,-0.715976128663714,0.1348772040223314,29,-0.4696587652419059,-0.5007748065130759,-0.5287151207357087,-0.534798640932799,-0.5355862715061105,-0.571368998965404,-0.5570948028793765,-0.5646422643816363,-0.5328299588945021,0.03188377409935142
