mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_elasticnet__alpha,param_elasticnet__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,mean_train_score,std_train_score
1.5448456704616547,0.7530148698000979,0.10917481780052185,0.02347879230256122,0.0859778803441964,0.48461588034815517,"{'elasticnet__alpha': 0.0859778803441964, 'elasticnet__l1_ratio': 0.48461588034815517}",-1.1965557024597901,-1.01270447922643,-1.055003708347287,-1.0029156200903266,-1.1123899559713304,-1.2369143788383523,-1.237460478884648,-1.0240768300556322,-1.1097526442342245,0.09433412113623095,26,-1.0841450505830756,-1.0645715620750071,-1.0434765616405717,-1.0445226519006465,-1.0367790371618582,-1.0544590011623445,-1.084828971207549,-1.1100623067335056,-1.0653556428080697,0.02392597917986962
0.9213637411594391,0.4637276146848827,0.09892863035202026,0.02139560291372836,0.6926093132782792,0.06179184849115993,"{'elasticnet__alpha': 0.6926093132782792, 'elasticnet__l1_ratio': 0.06179184849115993}",-1.4536912662872525,-1.2724321610983163,-1.3445151150903087,-1.2891971581511483,-1.3305162527560523,-1.3806321105737813,-1.2701734457401708,-1.1119665794754006,-1.3066405111465538,0.09341137935427901,46,-1.2770249857393692,-1.2986324848566657,-1.2805519345324339,-1.287854005207533,-1.2845002865615551,-1.2958054996505282,-1.314678431358001,-1.3208951234554636,-1.2949928439201936,0.014852602478264232
2.968294531106949,1.6500531954532736,0.10615617036819458,0.01570011305345821,0.014260501289848038,0.2405733384927975,"{'elasticnet__alpha': 0.014260501289848038, 'elasticnet__l1_ratio': 0.2405733384927975}",-0.9790336437814076,-0.8091905190235678,-0.8942660025506601,-0.7947652929894031,-1.0323047239573895,-1.1081205765296058,-1.0655559798584076,-0.856835003925862,-0.942508967827038,0.11249139740141456,1,-0.8324286766143703,-0.817855506362478,-0.8090971775143796,-0.8268681672258396,-0.8191941724090641,-0.8486844485728433,-0.8825172842073062,-0.9027582580937283,-0.8424254613750012,0.031390067351965256
0.880966067314148,0.4430637069465279,0.09970572590827942,0.022157385888815335,0.3229199090118059,0.5543620577099102,"{'elasticnet__alpha': 0.3229199090118059, 'elasticnet__l1_ratio': 0.5543620577099102}",-1.4381611755589352,-1.243208779334593,-1.2963416579568228,-1.2249460541205688,-1.2308179138058544,-1.3387556804786211,-1.2849560058220915,-1.1279238581310094,-1.2731388906510621,0.0853761984193367,42,-1.2621097061296631,-1.265703304179874,-1.248010551488284,-1.2475929710960165,-1.2364108169504995,-1.2442812220637347,-1.2667774720678742,-1.2848624924489471,-1.2569685670531117,0.014700128782711671
0.9944288432598114,0.47569227950708604,0.0898473858833313,0.0012466477229534298,0.12899883001260615,0.5452911911400554,"{'elasticnet__alpha': 0.12899883001260615, 'elasticnet__l1_ratio': 0.5452911911400554}",-1.2541443553258769,-1.0708714846050318,-1.1072623991331711,-1.042256620663425,-1.129110433442841,-1.2541056123672827,-1.2440106345879682,-1.0450837460672058,-1.1433556607741004,0.08754220506119963,32,-1.1348157337458387,-1.1204684630940827,-1.0944293630757127,-1.0888302355374986,-1.0782050215571586,-1.0935036900864818,-1.1236476669960431,-1.1487692846183402,-1.1103336823388945,0.023418708895059502
1.1546415090560913,0.5814790338465008,0.10588663816452026,0.024831320507133877,0.11906681084180158,0.44835002350939457,"{'elasticnet__alpha': 0.11906681084180158, 'elasticnet__l1_ratio': 0.44835002350939457}",-1.2339135204485374,-1.0487095864123936,-1.0915871478423,-1.0330328387269831,-1.1275716774049234,-1.249778612726829,-1.2408153193818205,-1.037409755280074,-1.1328523072779826,0.08904005042634265,31,-1.1182812815298915,-1.100265664014996,-1.0775710332010362,-1.0748565152749716,-1.0659859066472526,-1.0808999802168366,-1.1116746360989924,-1.1376727210916708,-1.095900967259456,0.023485136249039845
2.8592830896377563,1.5589895511217124,0.10107672214508057,0.011289001916645346,0.021157628438958877,0.041026795801027416,"{'elasticnet__alpha': 0.021157628438958877, 'elasticnet__l1_ratio': 0.041026795801027416}",-0.9657056601026824,-0.8187963108584778,-0.9032382304948368,-0.8013911360581354,-1.0330176934365276,-1.1071493202378395,-1.0583307906210992,-0.8528459811000277,-0.9425593903637034,0.10842724624063521,2,-0.8370007894292018,-0.8202796737418409,-0.8103715051019666,-0.8273556839912675,-0.8196359680433717,-0.848503857659563,-0.8823183761966975,-0.902893139328005,-0.8435448741864892,0.03075809900685743
1.7311188578605652,0.8127495055066226,0.09916383028030396,0.018518670155700707,0.05138432303528708,0.24810940643829427,"{'elasticnet__alpha': 0.05138432303528708, 'elasticnet__l1_ratio': 0.24810940643829427}",-1.1033607313136307,-0.902313244434415,-0.9748692407298238,-0.9119015095687676,-1.0716713254745613,-1.1771487036058208,-1.1641017102540447,-0.944060788564913,-1.0311784067432472,0.10453426858020222,12,-0.9676686200718104,-0.9472133703593458,-0.9317122584892308,-0.9433694923496113,-0.9357824457871134,-0.9588121131037606,-0.9927540494203918,-1.0140123152276277,-0.9614155831011115,0.027067285809506257
1.2324012219905853,0.5990211304917478,0.09636124968528748,0.011675693286749523,0.07664533117771133,0.6505660183903087,"{'elasticnet__alpha': 0.07664533117771133, 'elasticnet__l1_ratio': 0.6505660183903087}",-1.2012720553081457,-1.0186156575372063,-1.0601957504273989,-1.0046645145168096,-1.110586653390376,-1.2429294763705938,-1.252223929800694,-1.0391015765452143,-1.116198701737055,0.09544314091770004,27,-1.0948211783488706,-1.0725313348266265,-1.051740736142783,-1.052418528525694,-1.0439734523081994,-1.0602221663880738,-1.09190166373495,-1.1180841608451333,-1.0732116526400413,0.024359921793884937
1.5858953595161438,0.8151068830704193,0.09180369973182678,0.0036396016117914765,0.06695603904996064,0.21439569565842043,"{'elasticnet__alpha': 0.06695603904996064, 'elasticnet__l1_ratio': 0.21439569565842043}",-1.126690112131669,-0.9273716335183542,-0.9954892132545933,-0.9376610897041505,-1.0835011325239823,-1.1899202369984985,-1.1768706329994583,-0.9583232274044515,-1.0494784098168948,0.10106257746166393,14,-0.995578092552138,-0.9748883469069852,-0.9572138689224456,-0.966966256286599,-0.9593682741275633,-0.9810924642958229,-1.014887320018775,-1.0366022927995133,-0.9858246144887304,0.02630182830385815
