mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,mean_train_score,std_train_score
1.3026979863643646,0.6183897193390303,0.11165797710418701,0.02260684485306947,0.0917676422382673,{'ridge__alpha': 0.0917676422382673},-0.9040386650352937,-0.8754237319272992,-0.9446389043644164,-0.7658935588351223,-1.022552405226867,-1.0887139580955227,-1.0314434446461005,-0.8310832888427749,-0.9329734946216746,0.10280953540164565,19,-0.7909776096213538,-0.7769547411492741,-0.7677705775113719,-0.7893563855823328,-0.7822105804884252,-0.8120343617724008,-0.8466774552363341,-0.867386915485287,-0.8041710783558474,0.03317830059701703
1.271500825881958,0.5894188610013872,0.10301339626312256,0.0019363074703766217,0.9837309680503743,{'ridge__alpha': 0.9837309680503743},-0.9341292851205174,-0.8748910993411056,-0.9442873612042904,-0.7657566280762069,-1.0225590877591249,-1.088721455740487,-1.031442219848453,-0.8310828916960635,-0.936608753598281,0.10229824923215368,25,-0.7909689716009585,-0.7769548108899937,-0.7677675997006028,-0.7893567370828278,-0.7822105841327602,-0.8120343651601776,-0.8466774583382664,-0.8673869167154645,-0.8041696804526315,0.03317911227728988
1.3595788776874542,0.6664091463981675,0.11643537878990173,0.029607754645368942,0.19203259758892294,{'ridge__alpha': 0.19203259758892294},-0.9040438855942944,-0.8753484119352729,-0.944625619174195,-0.7657684447170878,-1.0225707434165738,-1.088718341945078,-1.0315151176315671,-0.8310834199473153,-0.9329592480451732,0.10285124863822181,14,-0.7909776136932393,-0.7769547282879126,-0.7677705778366469,-0.7893567291560667,-0.7822105922890277,-0.8120343620947296,-0.8466765585877889,-0.8673869155212883,-0.8041710096833374,0.03317813794272548
1.3538311123847961,0.6538120897810435,0.12371498346328735,0.02726468734845577,0.5339525292382341,{'ridge__alpha': 0.5339525292382341},-0.9357081867007132,-0.8751464713283109,-0.9445811374766062,-0.7658886040962883,-1.0225541248610852,-1.0887160570578798,-1.0314419876400032,-0.8310831858812954,-0.9368899693802728,0.10224904961831194,28,-0.7909688460129016,-0.7769547608282913,-0.7677705845963774,-0.7893563952453564,-0.7822105793550745,-0.8120343627686665,-0.8466774556302444,-0.8673869158394709,-0.8041699875345478,0.03317873307283097
1.5523859858512878,0.8835677054165639,0.13677769899368286,0.05244090445943321,0.013855758946903992,{'ridge__alpha': 0.013855758946903992},-0.9377128652796735,-0.8754292440051803,-0.9446509714740923,-0.7658956020933897,-1.0225490185334982,-1.0887180919925292,-1.0314423370158874,-0.831162645238801,-0.9371950969541314,0.10221565970373511,50,-0.790968791409383,-0.7769547506450287,-0.767770577151629,-0.789356385507279,-0.7822105804422967,-0.8120343617214498,-0.8466774566554424,-0.8673867271323981,-0.8041699538331134,0.03317869349629007
1.4660014510154724,0.6376301847162319,0.15986338257789612,0.06016946702214505,0.04407010174130887,{'ridge__alpha': 0.04407010174130887},-0.9375909219252195,-0.8754519772610183,-0.9446462579552934,-0.7658947476332786,-1.0225572595932222,-1.0887208240772894,-1.0314397085268285,-0.8310837315931837,-0.9371731785706667,0.10222530789945708,42,-0.7909687924498636,-0.7769547402069386,-0.7677705761401952,-0.7893563856877843,-0.7822105783006853,-0.8120343614472392,-0.8466774565384922,-0.8673869154676931,-0.8041699757798615,0.03317873964917169
1.5054444074630737,0.7925153568468893,0.12831386923789978,0.02249117468349956,0.029824512169816318,{'ridge__alpha': 0.029824512169816318},-0.904042457092665,-0.8754364921698123,-0.944405961298993,-0.7657710282904409,-1.0225543186915442,-1.0887139846081548,-1.0314417315286388,-0.8310833462218215,-0.9329311649877587,0.10283012908045158,8,-0.7909776092164537,-0.7769547392487217,-0.7677675781761791,-0.7893567286811698,-0.7822105804741593,-0.8120343618091813,-0.8466774549980478,-0.8673869154756377,-0.8041707460099438,0.03317869296502813
1.5836921334266663,0.6892182887241796,0.15913042426109314,0.03905237575383869,0.1961831795664209,{'ridge__alpha': 0.1961831795664209},-0.904035134976268,-0.8753863580377971,-0.9446258364147289,-0.7658911794474214,-1.0225777544886159,-1.088710269820558,-1.031438971878631,-0.8310840599892801,-0.9329686956316625,0.10281400532314672,17,-0.7909776132583504,-0.7769547535924288,-0.7677705784210381,-0.7893563860776803,-0.7822105931563808,-0.8120343635925698,-0.8466774559547913,-0.8673869154965506,-0.8041710824437237,0.03317829811149412
1.4723901450634003,0.6867184371998379,0.12842509150505066,0.013782405843165547,0.6246274612195342,{'ridge__alpha': 0.6246274612195342},-0.9040204053168105,-0.875076799033294,-0.9445692379714031,-0.765884599720737,-1.022558585142727,-1.0887374179995224,-1.0314454049856885,-0.831082809410433,-0.932921907447577,0.10284075350194716,6,-0.7909776482426305,-0.7769547759426645,-0.7677705871379563,-0.789356389433876,-0.7822105943214921,-0.8120343727025429,-0.8466774555982104,-0.8673869159728158,-0.8041710924190235,0.03317829292784303
1.4142573475837708,0.683824638278627,0.12163057923316956,0.023591909614329682,0.8476629077329683,{'ridge__alpha': 0.8476629077329683},-0.904014320379725,-0.8749846176852282,-0.9445387078971096,-0.7658881328540088,-1.0225521574918142,-1.0887170624671105,-1.0314433413715791,-0.8310828136709103,-0.9329026442271857,0.10284150006710868,3,-0.790977680185147,-0.7769547791131669,-0.7677705945399432,-0.7893563920325168,-0.7822105944803203,-0.812034364028977,-0.8466774578201353,-0.8673869163958271,-0.8041710973245042,0.03317829004132254
